Hebi 1 torque	Hebi 2 torque	M3 torque
2.56259	2.22308	0.0248074	
2.55281	2.14483	-0.0963501	
2.5519	2.13718	-0.0783151	
2.55809	2.12336	-0.0549559	
2.55602	2.05524	-0.110531	
2.59264	2.1388	-0.0106279	
2.55555	1.96156	-0.0865056	
2.57419	1.9774	0.00581061	
2.55459	1.92443	-0.0561397	
2.56817	1.89908	0.0179411	
2.55154	1.83734	-0.0568532	
2.56638	1.86246	0.0385672	
2.5529	1.74557	-0.128841	
2.57356	1.75486	0.0133742	
2.54662	1.67006	-0.0965181	
2.56552	1.65166	-0.00139357	
2.54444	1.55118	-0.0696202	
2.5353	1.51193	-0.0566587	
2.53665	1.45558	-0.0803219	
2.53245	1.41364	-0.0599663	
2.53299	1.41582	-0.0298838	
2.51356	1.3376	-0.0831825	
2.50382	1.27098	-0.0690677	
2.4938	1.23292	-0.0617813	
2.49456	1.24421	0.0181447	
2.46528	1.19468	-0.0708537	
2.47373	1.13764	-0.0940485	
2.45904	1.06471	-0.0468861	
2.43179	1.03213	-0.0637626	
2.41734	0.98194	-0.108298	
2.40093	0.878283	-0.063656	
2.37198	0.856268	-0.0234269	
2.37296	0.77844	-0.100099	
2.4897	0.902484	-0.047469	
2.40364	0.742097	-0.249979	
2.38711	0.692123	-0.228372	
2.37524	0.618592	-0.257178	
2.33644	0.600056	-0.229731	
2.32894	0.460777	-0.280316	
2.28736	0.403738	-0.256054	
2.27017	0.335447	-0.283099	
2.29197	0.283075	-0.282941	
2.17597	0.149073	-0.390658	
2.06886	0.140221	-0.0965725	
2.02637	0.0653862	-0.101961	
1.98563	-0.0455007	-0.372042	
1.95257	-0.100585	-0.101931	
1.91449	-0.195846	-0.375409	
1.87732	-0.248838	-0.285664	
1.83345	-0.369905	-0.353953	
1.80697	-0.466868	-0.327729	
1.88692	-0.47094	-0.268406	
1.74464	-0.563112	-0.367247	
1.69749	-0.635726	-0.202172	
1.68155	-0.79555	-0.295047	
1.63547	-0.642452	-0.272159	
1.97073	-0.376307	-0.0483731	
1.65471	-0.189362	-0.0542384	
1.55805	-1.15667	0.578438	
1.44597	-0.647407	-0.198257	
1.36491	-0.366192	-0.271092	
1.33253	-0.537409	-0.110581	
1.27108	-0.695558	-0.0684628	
1.23686	-0.789113	-0.0342929	
1.68351	-0.320459	0.076468	
1.706	-0.342469	-0.0109745	
1.4864	-0.988841	0.34647	
1.26332	-0.594098	-0.334508	
1.28063	-0.700603	-0.167688	
1.26239	-0.773608	-0.0504562	
1.26552	-0.808469	-0.0370187	
1.15711	-0.911674	-0.0256178	
1.19469	-0.980327	-0.0261812	
1.229	-0.86284	-0.00923837	
1.07515	-0.841118	-0.0120701	
1.15536	-0.820863	-0.0224305	
1.09672	-0.797135	0.0112037	
1.73319	-0.81427	-0.160736	
1.7182	-0.929192	-0.149342	
1.90737	-0.758669	-0.0123498	
1.66859	-0.437396	-0.0798336	
1.49888	-0.684673	-0.17729	
1.63968	-0.581897	-0.0997294	
1.55213	-0.533173	-0.146869	
1.45507	-0.446937	-0.103469	
1.34407	-0.586215	0.0209945	
1.39032	-0.416533	-0.145618	
1.32324	-0.383297	-0.120821	
1.27304	-0.365357	-0.118603	
1.24027	-0.382091	-0.103547	
1.24191	-0.287555	-0.101013	
1.17412	-0.231755	-0.0723282	
1.15326	-0.220931	-0.0943391	
1.12784	-0.142829	-0.0575104	
1.09992	-0.101664	-0.0572411	
1.08394	-0.045523	-0.0354794	
1.02741	-0.0562489	-0.0243606	
